CONSECUTIVO,ID_ENCUESTA,CE_ACCESSIBILITY,CE_CSAT,CE_VALUEFORMONEY,EM_IMMEDIATEATTENTION,EM_NURSING,EM_DOCTOR,EM_OVERALL,AD_TIME,AD_TARRIFFPACKAGESEXPLAINATION,AD_STAFFATTITUDE,INR_ROOMCLEANLINESS,INR_ROOMPEACE,INR_ROOMEQUIPMENT,INR_ROOMAMBIENCE,FNB_FOODQUALITY,FNB_FOODDELIVERYTIME,FNB_DIETICIAN,FNB_STAFFATTITUDE,AE_ATTENDEECARE,AE_PATIENTSTATUSINFO,AE_ATTENDEEFOOD,DOC_TREATMENTEXPLAINATION,DOC_ATTITUDE,DOC_VISITS,DOC_TREATMENTEFFECTIVENESS,NS_CALLBELLRESPONSE,NS_NURSESATTITUDE,NS_NURSEPROACTIVENESS,NS_NURSEPATIENCE,OVS_OVERALLSTAFFATTITUDE,OVS_OVERALLSTAFFPROMPTNESS,OVS_SECURITYATTITUDE,DP_DISCHARGETIME,DP_DISCHARGEQUERIES,DP_DISCHARGEPROCESS,DIASINTERNADO,SCORENPS,NPS
1234,86548,4,3,4,4,4,4,4,3,3,4,4,3,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,1,Detractor
1251,5882,2,3,2,3,3,3,3,3,2,2,3,2,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,2,3,2,7,6,Detractor
1252,5880,1,3,1,3,4,2,3,4,2,3,3,3,3,3,1,1,2,3,3,2,1,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,0,Detractor
1259,6553,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,1,6,Detractor
1261,48977,3,2,3,4,4,4,4,3,2,3,3,3,3,3,1,2,1,3,3,3,1,4,4,4,4,4,4,4,4,4,4,3,3,2,3,4,6,Detractor
1266,22320,2,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,Detractor
1269,25677,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
1283,61180,2,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,6,5,Detractor
1288,22580,4,3,3,4,4,4,4,3,3,4,4,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,6,Detractor
1298,49208,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,4,3,3,3,3,3,2,2,2,3,6,Detractor
1323,91124,3,3,2,4,4,4,4,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,4,2,2,2,5,5,Detractor
1332,12970,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,6,Detractor
1338,6494,2,1,2,3,3,4,3,3,3,3,1,1,2,1,3,2,2,1,2,2,3,4,4,4,4,1,1,2,1,2,2,3,3,3,3,2,1,Detractor
1359,21631,3,4,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,5,Detractor
1370,52265,4,3,2,3,3,4,3,1,3,3,3,2,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,Detractor
1386,85186,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,Detractor
1387,12129,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,1,Detractor
1389,12126,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,2,2,2,0,5,Detractor
1393,53358,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,3,4,3,3,3,2,6,Detractor
1394,40988,4,4,1,4,4,4,4,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,4,Detractor
1404,48235,2,3,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,2,2,3,3,3,3,3,3,3,15,6,Detractor
1415,14243,3,2,2,3,3,3,3,2,2,3,3,3,3,2,2,2,3,2,2,2,2,2,2,1,1,3,2,2,2,2,1,3,2,3,2,2,6,Detractor
1424,31690,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,2,1,2,2,5,Detractor
1450,6227,3,3,3,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6,Detractor
1451,23471,3,3,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,2,Detractor
1467,55249,3,3,3,4,4,4,4,3,3,3,1,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,Detractor
1471,10973,3,3,2,4,4,4,4,4,4,4,1,3,2,1,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
1472,10977,4,3,2,3,3,4,3,3,2,2,3,3,2,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,2,3,2,1,5,Detractor
1476,25610,3,3,2,4,4,4,4,1,3,1,4,4,3,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,6,Detractor
1504,9408,3,2,2,4,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,0,Detractor
1509,95527,4,3,3,4,4,4,4,3,3,2,3,2,3,2,3,3,2,2,2,2,1,4,4,4,4,3,3,2,2,3,3,1,3,3,3,5,2,Detractor
1510,17754,4,2,1,4,4,4,4,3,2,1,2,2,2,2,1,2,1,3,4,2,1,2,2,2,2,4,4,3,2,4,2,1,2,2,1,3,6,Detractor
1516,6387,3,2,2,3,4,4,3,3,3,3,1,2,3,3,2,3,2,3,3,3,2,3,4,4,4,4,4,4,4,3,3,4,3,2,2,6,6,Detractor
1525,85192,3,3,1,4,4,4,4,4,3,3,4,4,4,4,1,4,4,4,4,3,4,3,3,1,4,3,4,3,3,4,3,4,2,3,3,4,5,Detractor
1538,8622,3,2,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,1,6,Detractor
1544,88824,2,2,3,4,4,3,3,3,3,3,4,2,2,3,1,2,3,4,3,3,1,3,3,2,3,4,4,3,4,3,2,4,3,3,3,2,6,Detractor
1566,25135,4,3,2,4,4,4,4,3,3,3,2,2,2,1,2,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,1,4,1,6,6,Detractor
1586,54977,4,1,2,4,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,5,Detractor
1591,44131,4,4,4,4,4,4,4,4,4,4,2,3,3,2,2,2,3,3,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,Detractor
1593,37689,4,3,3,4,4,4,4,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,6,Detractor
1596,45082,1,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,5,1,Detractor
1602,14266,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,6,5,Detractor
1622,87756,3,4,1,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,5,6,Detractor
1624,51450,3,2,2,3,1,1,1,1,2,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,Detractor
1644,10997,1,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,1,2,1,1,6,Detractor
1692,53410,3,2,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,2,3,2,4,3,4,4,4,4,2,4,3,2,6,Detractor
1694,18391,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,0,Detractor
1710,67407,3,3,2,4,4,4,4,3,3,4,3,2,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
1712,67955,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,Detractor
1714,77348,3,1,1,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,3,3,3,4,3,3,3,3,3,3,3,3,2,3,Detractor
1721,77127,2,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
1748,10834,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,6,Detractor
1758,97243,3,2,1,4,3,4,3,3,3,3,1,2,3,1,2,3,3,3,1,3,2,3,3,3,3,3,4,3,3,3,2,3,2,3,2,1,2,Detractor
