CONSECUTIVO,ID_ENCUESTA,CE_ACCESSIBILITY,CE_CSAT,CE_VALUEFORMONEY,EM_IMMEDIATEATTENTION,EM_NURSING,EM_DOCTOR,EM_OVERALL,AD_TIME,AD_TARRIFFPACKAGESEXPLAINATION,AD_STAFFATTITUDE,INR_ROOMCLEANLINESS,INR_ROOMPEACE,INR_ROOMEQUIPMENT,INR_ROOMAMBIENCE,FNB_FOODQUALITY,FNB_FOODDELIVERYTIME,FNB_DIETICIAN,FNB_STAFFATTITUDE,AE_ATTENDEECARE,AE_PATIENTSTATUSINFO,AE_ATTENDEEFOOD,DOC_TREATMENTEXPLAINATION,DOC_ATTITUDE,DOC_VISITS,DOC_TREATMENTEFFECTIVENESS,NS_CALLBELLRESPONSE,NS_NURSESATTITUDE,NS_NURSEPROACTIVENESS,NS_NURSEPATIENCE,OVS_OVERALLSTAFFATTITUDE,OVS_OVERALLSTAFFPROMPTNESS,OVS_SECURITYATTITUDE,DP_DISCHARGETIME,DP_DISCHARGEQUERIES,DP_DISCHARGEPROCESS,DIASINTERNADO,SCORENPS,NPS
4785,48514,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,1,1,3,3,3,2,4,3,3,3,3,4,3,3,4,3,3,1,3,1,1,6,Detractor
4800,58398,3,3,2,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,3,3,3,1,6,Detractor
4803,8755,3,3,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,3,2,3,2,2,3,3,4,3,3,2,2,3,1,2,1,12,0,Detractor
4808,39414,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,2,6,Detractor
4819,24512,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,Detractor
4824,70491,4,4,4,4,4,4,4,3,3,4,3,1,3,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,3,2,5,4,Detractor
4833,89353,3,3,3,4,4,4,4,3,3,3,2,3,3,2,3,2,2,2,3,4,3,4,4,4,4,4,4,3,3,4,3,3,1,3,2,2,6,Detractor
4869,54846,2,2,2,4,4,4,4,4,3,3,3,4,4,3,4,3,4,4,3,3,2,4,4,3,3,2,4,3,4,3,4,4,3,3,3,6,3,Detractor
4874,5099,2,4,3,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,5,Detractor
4876,5093,3,3,3,4,3,4,3,1,2,3,2,1,3,2,2,1,3,3,2,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,6,Detractor
4883,5320,3,1,1,2,2,3,2,2,1,1,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,2,2,1,1,1,0,Detractor
4893,87839,3,3,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,1,1,8,5,Detractor
4908,81456,3,3,3,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,6,Detractor
4910,8566,4,3,2,4,4,4,4,4,3,4,4,4,4,4,3,2,3,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,5,Detractor
4925,26586,4,3,1,2,3,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,2,2,2,2,3,3,3,2,2,3,2,3,2,2,2,1,6,Detractor
4949,83803,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,1,5,Detractor
4958,70810,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,Detractor
4979,7299,2,2,2,4,4,4,4,3,1,4,3,1,2,2,3,3,3,4,1,3,2,4,4,4,4,4,3,3,3,3,2,2,3,3,3,4,3,Detractor
4985,5630,4,3,3,4,4,4,4,3,3,4,4,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,6,Detractor
